season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,3,8,Final,1,May 15 @4:00 PM,96900,St. Joseph's Academy,546,,4,True,Webster Groves,228,,0,False,4,St. Joseph's Academy,546,False
2012-2013,2012,3,8,Semifinals,2,May 13 @3:00 PM,96900,St. Joseph's Academy,546,1,7,True,Ursuline Academy,558,,2,False,5,St. Joseph's Academy,546,False
2012-2013,2012,3,8,Semifinals,3,May 13 @4:30 PM,96900,Nerinx Hall,532,2,0,False,Webster Groves,228,3,1,True,1,St. Joseph's Academy,546,False
2012-2013,2012,3,8,Quarterfinals,5,May 11 @4:00 PM,96900,Kirkwood,95,4,0,False,Ursuline Academy,558,5,6,True,6,St. Joseph's Academy,546,False
2012-2013,2012,3,9,Final,1,May 16 @6:00 PM,97624,Blue Springs South,15,,1,True,Hickman,85,,0,False,1,Blue Springs South,15,False
2012-2013,2012,3,9,Semifinals,2,May 13 @5:00 PM,97624,Blue Springs South,15,1,7,True,Smith-Cotton,194,4,0,False,7,Blue Springs South,15,False
2012-2013,2012,3,9,Semifinals,3,May 13 @7:00 PM,97624,Rock Bridge,578,2,1,False,Hickman,85,3,2,True,1,Blue Springs South,15,False
2012-2013,2012,3,10,Final,1,May 16 @6:00 PM,97410,Jefferson City,84,,3,True,Camdenton,26,,2,False,1,Jefferson City,84,False
2012-2013,2012,3,10,Semifinals,2,May 13 @7:00 PM,97410,Jefferson City,84,1,8,True,Lebanon,338,4,0,False,8,Jefferson City,84,False
2012-2013,2012,3,10,Semifinals,3,May 13 @5:00 PM,97410,Camdenton,26,2,3,True,Waynesville,224,3,2,False,1,Jefferson City,84,False
2012-2013,2012,3,11,Final,1,May 16 @6:00 PM,97574,Glendale,28,,1,False,Nixa,382,,2,True,1,Nixa,382,False
2012-2013,2012,3,11,Semifinals,2,May 14 @5:00 PM,97574,Glendale,28,1,10,True,Branson,399,4,0,False,10,Nixa,382,False
2012-2013,2012,3,11,Semifinals,3,May 14 @7:00 PM,97574,Nixa,382,2,10,True,Ozark,154,3,0,False,10,Nixa,382,False
2012-2013,2012,3,12,Final,1,May 17 @6:00 PM,97251,Kickapoo,90,,3,True,Central (Springfield),232,,1,False,2,Kickapoo,90,False
2012-2013,2012,3,12,Semifinals,2,May 14 @5:00 PM,97251,Kickapoo,90,1,5,True,Joplin,87,4,0,False,5,Kickapoo,90,False
2012-2013,2012,3,12,Semifinals,3,May 14 @7:00 PM,97251,Parkview,159,2,1,False,Central (Springfield),232,3,3,True,2,Kickapoo,90,False
2012-2013,2012,3,13,Final,1,May 16 @6:30 PM,97526,Lee's Summit West,117,,2,True,Lee's Summit,114,,0,False,2,Lee's Summit West,117,False
2012-2013,2012,3,13,Semifinals,2,May 14 @5:00 PM,97526,Lee's Summit West,117,1,11,True,Belton,12,,1,False,10,Lee's Summit West,117,False
2012-2013,2012,3,13,Semifinals,3,May 14 @7:00 PM,97526,Raymore-Peculiar,176,2,0,False,Lee's Summit,114,3,1,True,1,Lee's Summit West,117,False
2012-2013,2012,3,13,Quarterfinals,5,May 13 @5:00 PM,97526,Belton,12,4,10,True,Ruskin,192,5,0,False,10,Lee's Summit West,117,False
2012-2013,2012,3,14,Final,1,May 17 @6:00 PM,97481,Lee's Summit North,115,,0,False,Blue Springs,14,,1,True,1,Blue Springs,14,False
2012-2013,2012,3,14,Semifinals,2,May 15 @7:00 PM,97481,Lee's Summit North,115,1,2,True,Fort Osage,577,,0,False,2,Blue Springs,14,False
2012-2013,2012,3,14,Semifinals,3,May 15 @5:00 PM,97481,Blue Springs,14,2,1,True,Raytown,178,3,0,False,1,Blue Springs,14,False
2012-2013,2012,3,14,Quarterfinals,5,May 13 @4:30 PM,97481,Fort Osage,577,4,4,True,Truman,198,5,1,False,3,Blue Springs,14,False
